group,subgroup,filename,fwhm_L,fwhm_C,fwhm_R,sharpness,flatness
test,Streaks,240712A_GeTe_InGeTe_122.png,28.57,25.79,55.83,3.88,0.0
test,Streaks,240712A_GeTe_InGeTe_200.png,43.25,129.51,0.0,0.77,0.0
test,Streaks,240712A_GeTe_InGeTe_277.png,29.13,0.0,45.66,1000000000.0,0.0
test,Streaks,240712A_GeTe_InGeTe_333.png,88.22,163.92,67.66,0.61,0.041
test,Streaks,240712A_GeTe_InGeTe_445.png,80.36,170.15,69.2,0.59,0.139
test,Streaks,240712A_GeTe_InGeTe_48.png,29.81,0.0,45.55,1000000000.0,0.0
test,Streaks,240712A_GeTe_InGeTe_481.png,35.84,166.42,39.55,0.6,0.226
test,Streaks,240712A_GeTe_InGeTe_537.png,74.11,149.54,63.86,0.67,0.086
test,Streaks,240712A_GeTe_InGeTe_610.png,48.07,204.58,46.6,0.49,0.242
test,Streaks,240712A_GeTe_InGeTe_705.png,42.08,135.57,43.02,0.74,0.299
test,Streaks,240712A_GeTe_InGeTe_781.png,69.81,146.54,62.63,0.68,0.396
test,Streaks,240712A_GeTe_InGeTe_839.png,42.98,121.15,43.45,0.83,0.29
test,Streaks,240712A_GeTe_InGeTe_914.png,44.96,160.76,44.03,0.62,0.238
test,Streaks,240712A_GeTe_InGeTe_989.png,42.78,345.48,0.0,0.29,0.288
test,Streaks,240712A_InGeTe_123.png,70.47,0.0,46.34,1000000000.0,0.427
test,Streaks,240712A_InGeTe_201.png,0.0,262.55,49.85,0.38,0.729
test,Streaks,240712A_InGeTe_299.png,65.18,0.0,79.69,1000000000.0,0.462
test,Streaks,240712A_InGeTe_378.png,51.18,0.0,51.52,1000000000.0,0.283
test,Streaks,240712A_InGeTe_427.png,178.78,0.0,250.81,1000000000.0,0.607
test,Streaks,240712A_InGeTe_500.png,53.82,437.77,47.05,0.23,0.337
test,Streaks,240712A_InGeTe_58.png,149.99,0.0,0.0,1000000000.0,0.506
test,Streaks,240712B_Ge_Te_15min_134.png,49.89,222.33,84.51,0.45,0.286
test,Streaks,240712B_Ge_Te_15min_36.png,44.17,358.57,54.77,0.28,0.044
test,Streaks,240712B_Ge_Te_15min_632.png,36.83,0.0,63.79,1000000000.0,0.351
test,Streaks,240712B_Ge_Te_306.png,52.62,104.2,43.31,0.96,0.04
test,Streaks,240712B_Ge_Te_5min_350.png,75.42,0.0,58.55,1000000000.0,0.213
test,Streaks,240712B_Ge_Te_5min_692.png,0.0,204.65,39.22,0.49,0.147
test,Streaks,240712B_Ge_Te_5min_755.png,84.27,48.11,0.0,2.08,0.152
test,Streaks,240712B_Ge_Te_5min_892.png,25.57,191.49,48.9,0.52,0.205
test,Streaks,240712B_Ge_Te_5min_90.png,88.37,0.0,185.04,1000000000.0,0.091
test,Streaks,240712B_Ge_Te_5min_954.png,79.57,0.0,46.16,1000000000.0,0.257
test,Streaks,240712B_Ge_Te_670.png,0.0,0.0,69.2,1000000000.0,0.0
test,Streaks,240712_v2_13.png,35.59,468.48,38.51,0.21,0.001
test,Streaks,240712_v2_84.png,49.9,171.82,60.44,0.58,0.226
test,Streaks,240712_v_0.png,62.14,115.09,84.24,0.87,0.542
test,Streaks,240712_v_149.png,67.44,112.7,48.42,0.89,0.174
test,Streaks,240712_v_237.png,42.38,130.55,41.4,0.77,0.245
test,Streaks,240712_v_279.png,40.64,113.85,47.34,0.88,0.199
test,Streaks,240712_v_339.png,44.15,132.35,41.18,0.76,0.172
test,Streaks,240712_v_374.png,55.18,281.49,60.77,0.36,0.156
test,Streaks,240712_v_417.png,33.64,168.2,0.0,0.59,0.142
test,Streaks,240712_v_468.png,36.03,183.36,64.91,0.55,0.175
test,Streaks,240712_v_509.png,71.46,152.11,39.28,0.66,0.009
test,Streaks,240712_v_569.png,48.88,185.46,60.26,0.54,0.154
test,Streaks,240712_v_61.png,70.57,133.36,47.48,0.75,0.219
test,Streaks,240712_v_690.png,38.01,138.14,45.82,0.72,0.153
test,Streaks,240712_v_716.png,53.19,134.69,48.92,0.74,0.0
test,Streaks,240712_v_733.png,35.22,0.0,34.94,1000000000.0,0.0
test,Streaks,240715A_Ge_Te_InGeTe_173.png,29.19,141.77,67.17,0.71,0.16
test,Streaks,240715A_Ge_Te_InGeTe_277.png,49.15,193.03,0.0,0.52,0.234
test,Streaks,240715A_Ge_Te_InGeTe_330.png,91.68,168.8,96.95,0.59,0.0
test,Streaks,240715A_Ge_Te_InGeTe_45.png,69.42,0.0,35.17,1000000000.0,0.0
test,Streaks,240715A_Ge_Te_InGeTe_533.png,85.08,141.38,63.66,0.71,0.0
test,Streaks,240715A_Ge_Te_InGeTe_663.png,0.0,203.17,38.61,0.49,0.194
test,Streaks,240715A_Ge_Te_InGeTe_923.png,55.7,265.18,0.0,0.38,0.314
test,Streaks,240716B_189.png,0.0,0.0,118.81,1000000000.0,0.511
test,Streaks,240716B_268.png,260.21,0.0,307.41,1000000000.0,0.565
test,Streaks,240716B_336.png,120.41,0.0,99.37,1000000000.0,0.472
test,Streaks,240716B_50.png,82.36,0.0,29.87,1000000000.0,0.46
test,Streaks,240716B_968.png,99.76,30727.52,28.38,0.0,0.435
test,Streaks,240716B_991.png,50.89,0.0,59.16,1000000000.0,0.512
test,Streaks,240716B_992.png,700.97,0.0,47.75,1000000000.0,0.508
test,Streaks,240716B_998.png,58.34,0.0,0.0,1000000000.0,0.51
test,Streaks,240716B__220.png,121.63,0.0,117.48,1000000000.0,0.467
test,Streaks,240716B__454.png,75.25,0.0,0.0,1000000000.0,0.377
test,Streaks,240716B__508.png,31.36,0.0,0.0,1000000000.0,0.493
test,Streaks,240716B__509.png,98.71,0.0,30.08,1000000000.0,0.428
test,Streaks,240716B__678.png,126.81,201.04,111.33,0.5,0.503
test,Streaks,240716B__788.png,0.0,0.0,42.28,1000000000.0,0.396
test,Streaks,240716C_141.png,0.0,0.0,66.9,1000000000.0,0.455
test,Streaks,240716C_168.png,130.07,0.0,138.31,1000000000.0,0.499
test,Streaks,240716C_194.png,0.0,0.0,72.54,1000000000.0,0.566
test,Streaks,240716C_220.png,35.33,0.0,31.27,1000000000.0,0.412
test,Streaks,240716C_246.png,219.98,0.0,0.0,1000000000.0,0.506
test,Streaks,240716C_299.png,0.0,153.48,65.1,0.65,0.563
test,Streaks,240716C_324.png,30.86,0.0,0.0,1000000000.0,0.431
test,Streaks,240716C_350.png,0.0,0.0,79.82,1000000000.0,0.421
test,Streaks,240716C_405.png,112.87,0.0,67.91,1000000000.0,0.554
test,Streaks,240718A_MnTe_160min_109.png,63.06,476.24,0.0,0.21,0.477
test,Streaks,240718A_MnTe_160min_584.png,75.41,0.0,80.69,1000000000.0,0.0
test,Streaks,240718A_MnTe_160min_767.png,76.73,0.0,0.0,1000000000.0,0.343
test,Streaks,240718A_MnTe_160min_952.png,61.3,0.0,92.34,1000000000.0,0.0
test,Streaks,240718A_MnTe_300min_359.png,32.31,0.0,0.0,1000000000.0,0.39
test,Streaks,240718A_MnTe_300min_767.png,89.47,0.0,92.74,1000000000.0,0.236
test,Streaks,240718A_MnTe_300min_901.png,68.68,468.87,0.0,0.21,0.476
test,Streaks,240718A_MnTe_300min_959.png,71.08,0.0,57.38,1000000000.0,0.181
test,Streaks,240718A_MnTe_50min_123.png,184.92,0.0,107.32,1000000000.0,0.0
